mprove50_x,mprove50_y
7,4.5600991790367535e-12
7,4.086407673244981e-12
7,1.117624585289691e-11
7,-1.1807192532216105e-11
7,-6.671578222173181e-12
7,-1.1259183757878216e-11
7,4.4567027212554034e-11
7,1.1031089668921178e-11
7,1.3248338740728632e-11
7,1.5444120116581487e-10
7,-1.8765599816756172e-11
7,-1.658861685671443e-11
7,-5.232505399159546e-11
7,3.3688106444241737e-11
7,2.143203714260834e-11
7,4.231182642158396e-11
3,1.62488438930898e-15
2,3.7685485850699683e-16
1,-6.132434303467454e-16
0,1.2858857782344104e-15
1,1.8938590243268298e-16
4,-3.311482412707751e-14
5,-7.466795139674285e-15
6,-1.3805447506552268e-14
7,-8.246037417629146e-14
8,6.821265518125753e-14
8,5.771358698203004e-14
8,1.15470872122914e-13
8,-3.058986873552254e-13
8,-5.991569173375488e-14
8,1.280251957479077e-15
8,9.359300662690764e-13
8,-4.09870855926811e-13
8,-5.895107050806602e-13
8,-2.1718825071415523e-12
8,3.5997943876534114e-12
8,2.396542748952349e-12
8,4.594056574983605e-12
8,-4.2464926136969944e-11
8,-7.258512128763978e-12
8,-9.016245676221455e-12
8,-4.881901687025793e-11
8,2.0487552797573237e-11
8,1.6955243807303468e-11
8,4.080124240740634e-11
8,-6.360746457508043e-11
8,-3.128327589492283e-11
8,-4.926926550457097e-11
8,3.6908609429057024e-10
8,5.774839881678486e-11
8,6.575678765154671e-11
8,4.380959922228741e-10
8,-1.0892741642829723e-10
8,-9.133458551685301e-11
8,-2.5572056490312775e-10
8,2.1656002830429658e-10
8,1.2916081924444618e-10
3,7.76427833990607e-16
2,-5.423723154343312e-16
1,8.594282795537037e-16
0,3.719104565557719e-16
1,-4.1319360265457503e-16
4,3.738630501869957e-15
5,2.2118516358487812e-13
6,-2.456552384193466e-14
7,-3.9529049404781896e-14
8,-1.7276560588217362e-13
9,2.3926897497952664e-13
9,1.7177917424358976e-13
9,3.137647682704231e-13
9,-1.9711315794258424e-12
9,-2.7492327952550233e-13
9,-1.3892546794249033e-13
9,5.95765736907709e-13
9,-9.898858252578166e-13
9,-1.4621890093721275e-12
9,-4.945297125943644e-12
9,1.3677776655424866e-11
9,7.597448671765573e-12
9,1.3599863006766296e-11
9,-2.431289826581582e-09
9,-2.7153208419562197e-11
9,-3.151999855908361e-11
9,-1.2817332797529575e-10
9,8.972223873717137e-11
9,6.766840145431507e-11
9,1.4672996072407816e-10
9,-3.4117110745345294e-10
9,-1.4004968035203436e-10
9,-2.0688265751608834e-10
9,5.3866588238102675e-09
9,2.870383377383885e-10
9,3.0978875007526525e-10
9,1.51151451208954e-09
9,-5.97863641581503e-10
9,-4.738530787382708e-10
9,-1.2064280584231892e-09
9,1.3122956483285912e-09
3,2.2748056160966862e-15
2,0.0
1,1.8533429530518397e-16
0,-9.63005014067942e-16
1,2.8057909112447653e-15
4,3.2529806329626095e-15
5,1.1334845570552612e-14
6,1.6169356408467941e-13
7,-8.288821132410671e-14
