mprove50_x,mprove50_y
11,0.27938318252563477
15,0.38098859786987305
19,0.44539785385131836
23,0.5607268810272217
27,0.6223347187042236
31,0.6963765621185303
35,0.7627792358398438
39,0.8143782615661621
43,0.8642895221710205
47,0.9354977607727051
51,1.0337562561035156
55,1.1348357200622559
59,1.2187983989715576
63,1.3122889995574951
67,1.3952958583831787
71,1.4557089805603027
75,1.5264019966125488
79,1.6411995887756348
83,1.7635092735290527
87,1.8332037925720215
91,1.898202657699585
95,1.9627904891967773
99,2.0522167682647705
103,2.1872048377990723
107,2.263810873031616
111,2.3252298831939697
115,2.4342360496520996
119,2.515202283859253
123,2.587106227874756
127,2.682598829269409
131,2.8201541900634766
135,2.9278321266174316
139,3.0537667274475098
143,3.1889421939849854
147,3.2580392360687256
151,3.3880486488342285
155,3.5200424194335938
160,3.709585189819336
161,3.7594618797302246
162,3.7916886806488037
163,3.824150562286377
164,3.8661060333251953
165,3.899928331375122
166,3.932096481323242
167,3.9662907123565674
168,3.9872920513153076
169,4.005291223526001
170,4.022290945053101
171,4.039472579956055
172,4.057295083999634
173,4.075290203094482
174,4.092947244644165
175,4.110300540924072
176,4.1272923946380615
177,4.145002365112305
178,4.1659276485443115
179,4.184880971908569
180,4.204836368560791
181,4.224837064743042
182,4.243838787078857
183,4.2623817920684814
184,4.28050684928894
185,4.296837091445923
186,4.32084584236145
187,4.365841865539551
188,4.400841474533081
189,4.443840026855469
190,4.473838806152344
191,4.495836019515991
192,4.529837131500244
193,4.547838926315308
194,4.5878520011901855
195,4.614848852157593
196,4.655849933624268
201,4.78825569152832
202,4.8311967849731445
203,4.874907970428467
204,4.922037124633789
205,4.9638731479644775
206,5.0068678855896
207,5.050874710083008
208,5.096043825149536
209,5.1388983726501465
210,5.180612325668335
211,5.2248759269714355
212,5.2688727378845215
213,5.316873550415039
214,5.360873699188232
215,5.403084754943848
216,5.448920965194702
217,5.480111598968506
218,5.524886608123779
219,5.569129705429077
220,5.6120405197143555
221,5.660031318664551
222,5.707030534744263
223,5.753938436508179
224,5.797120809555054
225,5.842129468917847
226,5.886134624481201
227,5.9281251430511475
228,5.973116636276245
229,6.016126394271851
230,6.0621178150177
231,6.103117227554321
232,6.146124601364136
233,6.1851184368133545
234,6.234127044677734
235,6.277750015258789
236,6.322407007217407
237,6.362446308135986
242,6.494342088699341
243,6.522344589233398
244,6.566340923309326
245,6.611351490020752
246,6.643753290176392
247,6.677410840988159
248,6.710759878158569
249,6.751762866973877
250,6.796173334121704
251,6.841753721237183
252,6.887766122817993
253,6.932387113571167
254,6.9787538051605225
255,7.024761438369751
256,7.068415403366089
257,7.114423990249634
258,7.165292501449585
259,7.1998515129089355
260,7.243490695953369
261,7.2896199226379395
262,7.334416627883911
263,7.377968072891235
264,7.4189653396606445
265,7.44699501991272
266,7.487964391708374
267,7.531969785690308
268,7.577979326248169
269,7.622978687286377
270,7.6709675788879395
271,7.7065534591674805
272,7.750982284545898
273,7.795985698699951
274,7.839009761810303
275,7.8830246925354
276,7.928037881851196
277,7.969023942947388
278,8.014034509658813
283,8.15698504447937
284,8.193819284439087
285,8.22562313079834
286,8.263345956802368
287,8.293671607971191
288,8.32544469833374
289,8.363450765609741
290,8.400686264038086
291,8.444833755493164
292,8.479833841323853
293,8.51207971572876
294,8.565006256103516
295,8.614312648773193
296,8.664836645126343
297,8.725250482559204
298,8.79387092590332
299,8.86307692527771
300,8.932851314544678
301,8.99294400215149
302,9.050413846969604
303,9.104412078857422
304,9.149896621704102
305,9.194830894470215
306,9.246420860290527
307,9.293411016464233
308,9.340471029281616
309,9.386489868164062
310,9.436491250991821
311,9.533951759338379
312,9.567489862442017
313,9.613489151000977
314,9.659505844116211
315,9.707563638687134
316,9.755355596542358
317,9.797891855239868
318,9.83738923072815
319,9.881719827651978
324,10.015468120574951
325,10.0634605884552
326,10.111973762512207
327,10.159616708755493
328,10.208613395690918
329,10.25819993019104
330,10.306619644165039
331,10.352613925933838
332,10.400386810302734
333,10.446620225906372
334,10.495806455612183
335,10.541917324066162
336,10.57373332977295
337,10.604731798171997
338,10.639567375183105
339,10.683664560317993
340,10.734578371047974
341,10.784581422805786
342,10.834343910217285
343,10.882178783416748
344,10.931178331375122
345,10.977866411209106
346,11.024791479110718
347,11.072795391082764
348,11.119796514511108
349,11.167872428894043
350,11.216450452804565
351,11.26895809173584
352,11.313005924224854
353,11.360856294631958
354,11.40679121017456
355,11.455430507659912
356,11.501790761947632
357,11.549793004989624
358,11.591787815093994
359,11.63780164718628
360,11.684802293777466
365,11.815189838409424
366,11.84421968460083
367,11.884195327758789
368,11.93121600151062
369,11.980786323547363
370,12.030577898025513
371,12.079565286636353
372,12.129160404205322
373,12.166791677474976
374,12.214812755584717
375,12.262468338012695
376,12.313462018966675
377,12.349495887756348
378,12.383199214935303
379,12.43450117111206
380,12.473843812942505
381,12.514617681503296
382,12.563626766204834
383,12.605742692947388
384,12.654625654220581
385,12.704304695129395
386,12.754926443099976
387,12.803385496139526
388,12.841119289398193
389,12.882121324539185
390,12.930166244506836
391,12.98416018486023
392,13.029143810272217
393,13.077130317687988
394,13.132118701934814
395,13.180124282836914
396,13.217122316360474
397,13.265559673309326
398,13.310560941696167
399,13.356833457946777
400,13.404100179672241
401,13.45207142829895
406,13.644921779632568
407,13.711563110351562
408,13.769720315933228
409,13.830743312835693
410,13.87681531906128
411,13.913944005966187
412,13.944839000701904
413,14.00081992149353
414,14.049997806549072
415,14.113995790481567
416,14.188265800476074
417,14.29020881652832
418,14.336478471755981
419,14.367390155792236
